,Stars,Time
0,4,Before
1,5,Before
2,5,Before
3,1,Before
4,4,Before
5,2,Before
6,4,Before
7,4,Before
8,4,Before
9,5,Before
10,4,Before
11,4,Before
12,4,Before
13,1,Before
14,4,Before
15,5,Before
16,4,Before
17,3,Before
18,3,Before
19,4,Before
20,2,Before
21,5,Before
22,4,Before
23,4,Before
24,3,Before
25,4,Before
26,4,Before
27,5,Before
28,4,Before
29,4,Before
30,5,Before
31,4,Before
32,4,Before
33,4,Before
34,4,Before
35,1,Before
36,3,Before
37,3,Before
38,2,Before
39,3,Before
40,4,Before
41,5,Before
42,4,Before
43,3,Before
44,4,Before
45,1,Before
46,4,Before
47,5,Before
48,4,Before
49,5,Before
50,5,Before
51,4,Before
52,5,Before
53,5,Before
54,4,Before
55,5,Before
56,2,Before
57,4,Before
58,4,Before
59,3,Before
60,4,Before
61,5,Before
62,4,Before
63,5,Before
64,3,Before
65,4,Before
66,5,Before
67,2,Before
68,4,Before
69,4,Before
70,4,Before
71,5,Before
72,5,Before
73,4,Before
74,5,Before
75,4,Before
76,5,Before
77,5,Before
78,5,Before
79,4,Before
80,4,Before
81,4,Before
82,4,Before
83,5,Before
84,4,Before
85,3,Before
86,4,Before
87,5,Before
88,3,Before
89,5,Before
90,5,Before
91,4,Before
92,4,Before
93,4,Before
94,4,Before
95,5,Before
96,1,Before
97,3,Before
98,4,Before
99,3,Before
100,3,Before
101,4,Before
102,4,Before
103,5,Before
104,4,Before
105,4,Before
106,3,Before
107,5,Before
108,4,Before
109,4,Before
110,4,Before
111,5,Before
112,4,Before
113,4,Before
114,3,Before
115,4,Before
116,4,Before
117,3,Before
118,4,Before
119,1,Before
120,4,Before
121,4,Before
122,3,Before
123,4,Before
124,4,Before
125,4,Before
126,4,Before
127,4,Before
128,5,Before
129,4,Before
130,5,Before
131,5,Before
132,4,Before
133,4,Before
134,5,Before
135,5,Before
136,4,Before
137,4,Before
138,4,Before
139,4,Before
140,4,Before
141,4,Before
142,5,Before
143,1,Before
144,5,Before
145,4,Before
146,5,Before
147,4,Before
148,4,Before
149,4,Before
150,4,Before
151,5,Before
152,4,Before
153,4,Before
154,4,Before
155,4,Before
156,2,Before
157,5,Before
158,4,Before
159,4,Before
160,4,Before
161,4,Before
162,4,Before
163,5,Before
164,4,Before
165,5,Before
166,5,Before
167,1,Before
168,3,Before
169,4,Before
170,5,Before
171,5,Before
172,4,Before
173,4,Before
174,5,Before
175,5,Before
176,2,Before
177,3,Before
178,4,Before
179,3,Before
180,4,Before
181,4,Before
182,5,Before
183,3,Before
184,4,Before
185,1,Before
186,5,Before
187,2,Before
188,5,Before
189,2,Before
190,5,Before
191,4,Before
192,5,Before
193,4,Before
194,4,Before
195,5,Before
196,5,Before
197,3,Before
198,4,Before
199,4,Before
200,4,Before
201,5,Before
202,3,Before
203,4,Before
204,5,Before
205,4,Before
206,2,Before
207,3,Before
208,5,Before
209,4,Before
210,4,Before
211,5,Before
212,4,Before
213,4,Before
214,4,Before
215,4,Before
216,3,Before
217,5,Before
218,5,Before
219,4,Before
220,5,Before
221,5,Before
222,3,Before
223,4,Before
224,3,Before
0,4,During
1,4,During
2,1,During
3,5,During
4,5,During
5,5,During
6,5,During
7,1,During
8,1,During
9,4,During
10,4,During
11,4,During
12,4,During
13,1,During
14,5,During
15,4,During
16,4,During
17,3,During
18,1,During
19,4,During
20,3,During
21,5,During
22,4,During
23,3,During
24,4,During
25,5,During
26,1,During
27,4,During
28,4,During
29,3,During
30,4,During
31,3,During
32,1,During
33,4,During
34,1,During
35,1,During
36,5,During
37,4,During
38,3,During
39,5,During
40,4,During
41,4,During
42,4,During
43,4,During
44,2,During
45,2,During
46,5,During
47,4,During
48,1,During
49,1,During
50,4,During
51,1,During
52,3,During
53,4,During
54,5,During
55,5,During
56,4,During
57,1,During
58,4,During
59,3,During
60,4,During
61,1,During
62,4,During
63,4,During
64,4,During
65,3,During
66,3,During
67,1,During
68,3,During
69,5,During
70,4,During
71,4,During
72,3,During
73,4,During
74,5,During
75,3,During
76,1,During
77,4,During
78,4,During
79,5,During
80,4,During
81,5,During
82,4,During
83,4,During
84,4,During
85,5,During
86,4,During
87,3,During
88,3,During
89,4,During
90,3,During
91,4,During
92,4,During
93,4,During
94,5,During
95,5,During
96,4,During
97,3,During
98,1,During
99,5,During
100,3,During
101,3,During
102,4,During
103,4,During
104,4,During
105,4,During
106,4,During
107,1,During
108,5,During
109,1,During
110,4,During
111,5,During
112,3,During
113,5,During
114,4,During
115,4,During
116,5,During
117,5,During
118,4,During
119,4,During
120,3,During
121,1,During
122,3,During
123,1,During
124,5,During
125,4,During
126,4,During
127,3,During
128,1,During
129,5,During
130,4,During
131,5,During
132,3,During
133,4,During
134,4,During
135,1,During
136,5,During
137,4,During
138,4,During
139,1,During
140,5,During
141,4,During
142,4,During
143,5,During
144,1,During
145,4,During
146,5,During
147,3,During
148,4,During
149,5,During
150,1,During
151,4,During
152,5,During
153,2,During
154,3,During
155,5,During
156,1,During
157,1,During
158,4,During
159,4,During
160,4,During
161,3,During
162,1,During
163,3,During
164,3,During
165,5,During
166,4,During
167,4,During
168,5,During
169,3,During
170,4,During
171,4,During
172,3,During
173,4,During
174,4,During
175,5,During
176,3,During
177,4,During
178,4,During
179,4,During
180,4,During
181,5,During
182,1,During
183,4,During
184,5,During
185,5,During
186,5,During
187,3,During
188,5,During
189,4,During
190,4,During
191,5,During
192,5,During
193,5,During
194,4,During
195,5,During
196,4,During
197,4,During
198,4,During
199,2,During
200,3,During
201,4,During
202,4,During
203,4,During
204,3,During
205,4,During
206,4,During
207,5,During
208,4,During
209,4,During
210,2,During
211,4,During
212,2,During
213,4,During
214,4,During
215,4,During
216,5,During
217,4,During
218,4,During
219,3,During
220,4,During
221,5,During
222,2,During
223,1,During
224,5,During
225,5,During
226,5,During
227,2,During
228,4,During
229,4,During
230,3,During
231,3,During
232,1,During
233,4,During
234,3,During
235,1,During
236,5,During
237,1,During
238,5,During
239,4,During
240,4,During
241,5,During
242,5,During
243,4,During
244,5,During
245,4,During
246,5,During
247,4,During
248,2,During
249,3,During
250,4,During
251,5,During
252,3,During
253,5,During
254,4,During
255,2,During
256,2,During
257,3,During
258,4,During
259,5,During
260,3,During
261,4,During
262,5,During
263,4,During
264,2,During
265,2,During
266,2,During
267,3,During
268,4,During
269,3,During
270,4,During
271,3,During
272,4,During
273,4,During
274,4,During
275,4,During
276,3,During
277,1,During
278,4,During
279,4,During
280,4,During
281,5,During
282,4,During
283,3,During
284,4,During
285,4,During
286,4,During
287,1,During
288,1,During
289,4,During
290,4,During
291,5,During
292,3,During
293,4,During
294,4,During
295,4,During
296,4,During
297,5,During
298,2,During
299,5,During
300,5,During
301,5,During
302,2,During
303,5,During
304,4,During
305,4,During
306,4,During
307,1,During
308,4,During
309,5,During
310,5,During
311,4,During
312,1,During
313,4,During
314,5,During
315,4,During
316,4,During
317,3,During
318,4,During
319,5,During
320,4,During
321,4,During
322,5,During
323,5,During
324,5,During
325,1,During
326,3,During
327,5,During
328,4,During
329,4,During
330,4,During
331,5,During
332,1,During
333,4,During
334,3,During
335,5,During
336,5,During
337,4,During
338,5,During
339,5,During
340,4,During
341,1,During
342,5,During
343,4,During
344,4,During
345,4,During
346,4,During
347,4,During
348,5,During
349,5,During
350,4,During
351,4,During
352,5,During
353,4,During
354,4,During
355,4,During
356,4,During
357,1,During
358,1,During
359,5,During
360,4,During
361,5,During
362,4,During
363,4,During
364,4,During
365,4,During
366,3,During
367,3,During
368,4,During
369,4,During
370,4,During
371,1,During
372,5,During
373,4,During
374,5,During
375,5,During
376,4,During
377,4,During
378,4,During
379,5,During
380,3,During
381,2,During
382,3,During
383,1,During
384,4,During
385,5,During
386,4,During
387,4,During
388,3,During
389,5,During
390,1,During
391,4,During
392,4,During
393,1,During
394,3,During
395,4,During
396,5,During
397,4,During
398,4,During
399,1,During
400,4,During
401,2,During
402,2,During
403,4,During
404,4,During
405,4,During
406,4,During
407,5,During
408,4,During
409,2,During
410,3,During
411,5,During
412,1,During
413,4,During
414,1,During
415,4,During
416,3,During
417,4,During
418,4,During
419,5,During
420,5,During
421,4,During
422,4,During
423,5,During
424,3,During
425,5,During
426,1,During
427,2,During
428,4,During
429,5,During
430,4,During
431,4,During
432,2,During
433,2,During
434,4,During
435,5,During
436,3,During
437,2,During
438,5,During
439,4,During
440,5,During
441,3,During
442,5,During
443,5,During
444,5,During
445,3,During
446,1,During
447,3,During
448,5,During
449,5,During
450,4,During
451,4,During
452,3,During
453,4,During
454,2,During
455,1,During
456,4,During
457,3,During
458,5,During
459,3,During
460,1,During
461,4,During
462,4,During
463,4,During
464,4,During
465,4,During
466,4,During
467,5,During
468,5,During
469,4,During
470,3,During
471,5,During
472,4,During
473,4,During
474,4,During
475,3,During
476,5,During
477,4,During
478,2,During
479,5,During
480,5,During
481,5,During
482,4,During
483,4,During
484,4,During
485,3,During
486,4,During
487,5,During
488,5,During
489,4,During
490,4,During
491,4,During
492,5,During
493,5,During
494,4,During
495,4,During
496,3,During
497,1,During
498,4,During
499,4,During
500,1,During
501,4,During
502,4,During
503,1,During
504,4,During
505,1,During
506,4,During
507,4,During
508,2,During
509,5,During
510,4,During
511,4,During
512,2,During
513,5,During
514,5,During
515,5,During
516,5,During
517,4,During
518,2,During
519,1,During
520,4,During
521,3,During
522,4,During
523,2,During
524,2,During
525,4,During
526,5,During
527,4,During
0,4,After
1,4,After
2,4,After
3,5,After
4,3,After
5,4,After
6,4,After
7,4,After
8,1,After
9,5,After
10,4,After
11,4,After
12,5,After
13,4,After
14,1,After
15,5,After
16,5,After
17,5,After
18,5,After
19,4,After
20,5,After
21,4,After
22,3,After
23,3,After
24,4,After
25,5,After
26,4,After
27,5,After
28,5,After
29,4,After
30,1,After
31,4,After
32,4,After
33,4,After
34,3,After
35,4,After
36,4,After
37,4,After
38,4,After
39,4,After
40,4,After
41,1,After
42,1,After
43,1,After
44,5,After
45,5,After
46,3,After
47,4,After
48,4,After
49,4,After
50,2,After
51,5,After
52,5,After
53,3,After
54,5,After
55,4,After
56,5,After
57,4,After
58,5,After
59,4,After
60,2,After
61,5,After
62,5,After
63,4,After
64,4,After
65,4,After
66,4,After
67,3,After
68,2,After
69,1,After
70,5,After
71,4,After
72,5,After
73,1,After
74,5,After
75,2,After
76,3,After
77,1,After
78,5,After
79,3,After
80,1,After
81,5,After
82,4,After
83,1,After
84,5,After
85,4,After
86,4,After
87,5,After
88,4,After
89,5,After
90,2,After
91,5,After
92,2,After
93,4,After
94,3,After
95,5,After
96,4,After
97,4,After
98,4,After
99,4,After
100,5,After
101,5,After
102,5,After
103,5,After
104,4,After
105,5,After
106,5,After
107,4,After
108,4,After
109,5,After
110,5,After
111,5,After
112,3,After
113,2,After
114,5,After
115,4,After
116,3,After
117,4,After
118,5,After
119,3,After
120,4,After
121,5,After
122,4,After
123,5,After
124,5,After
125,4,After
126,4,After
127,1,After
128,1,After
129,4,After
130,4,After
131,1,After
132,3,After
133,5,After
134,5,After
135,4,After
136,3,After
137,4,After
138,2,After
139,4,After
140,1,After
141,5,After
142,4,After
143,5,After
144,2,After
145,1,After
146,5,After
147,1,After
148,4,After
149,1,After
150,1,After
151,4,After
152,5,After
153,4,After
154,3,After
155,4,After
156,5,After
157,5,After
158,4,After
159,5,After
160,4,After
161,4,After
162,4,After
163,2,After
164,4,After
165,5,After
166,4,After
167,2,After
168,2,After
169,3,After
170,1,After
171,4,After
172,4,After
173,4,After
174,4,After
175,1,After
176,3,After
177,4,After
178,5,After
179,4,After
180,5,After
181,4,After
182,5,After
183,4,After
184,5,After
185,5,After
186,4,After
187,5,After
188,1,After
189,2,After
190,5,After
191,4,After
192,4,After
193,5,After
194,4,After
195,5,After
196,5,After
197,1,After
198,5,After
199,3,After
200,4,After
201,1,After
202,4,After
203,4,After
204,5,After
205,5,After
206,4,After
207,4,After
208,5,After
209,4,After
210,2,After
211,4,After
212,4,After
213,1,After
214,3,After
215,1,After
216,1,After
217,4,After
218,4,After
219,1,After
220,4,After
221,1,After
222,1,After
223,2,After
224,5,After
225,5,After
226,4,After
227,5,After
228,2,After
229,4,After
230,4,After
231,4,After
232,2,After
233,5,After
234,5,After
235,1,After
236,1,After
237,2,After
238,3,After
239,4,After
240,5,After
